product_id,product_name,category,price,supplier_id
1,Money,Furniture,1952.98,377
2,Money,Beauty,1136.65,304
3,Camera,Furniture,831.05,217
4,Cultural,Furniture,983.88,499
5,Mother,Sports,1810.97,168
6,Adult,Furniture,1492.56,304
7,Top,Furniture,83.76,261
8,Including,Beauty,1912.03,462
9,Weight,Groceries,79.73,260
10,Fish,Sports,1489.39,29
11,Another,Sports,14.36,337
12,Democratic,Clothing,1325.02,41
13,Special,Groceries,953.7,420
14,Drop,Beauty,537.82,209
15,House,Electronics,907.83,263
16,Possible,Furniture,1771.28,498
17,Change,Electronics,256.92,221
18,Father,Clothing,529.96,271
19,Anyone,Clothing,711.25,282
20,Source,Electronics,1510.71,229
21,Well,Groceries,1438.29,280
22,Nature,Sports,1637.91,411
23,Station,Clothing,212.56,251
24,Care,Beauty,680.65,328
25,Ever,Clothing,1354.76,260
26,Company,Clothing,344.5,293
27,North,Sports,1086.96,381
28,Include,Clothing,1406.24,124
29,Important,Groceries,729.86,452
30,Listen,Sports,517.45,16
31,Next,Clothing,1274.33,362
32,Court,Electronics,1048.68,118
33,College,Groceries,262.03,260
34,Drug,Clothing,706.0,378
35,Treatment,Groceries,227.17,453
36,Chair,Beauty,484.3,159
37,Possible,Beauty,610.39,78
38,Stop,Electronics,1900.87,243
39,Student,Beauty,1011.06,30
40,Environmental,Electronics,129.61,17
41,Maybe,Sports,1885.55,417
42,Name,Beauty,1151.27,485
43,Conference,Electronics,1969.19,85
44,Discuss,Beauty,1200.05,353
45,Door,Furniture,599.09,332
46,Always,Sports,641.78,81
47,Be,Beauty,1602.43,381
48,Value,Clothing,1406.05,132
49,Wonder,Furniture,1944.94,402
50,Government,Clothing,1250.66,24
51,Respond,Clothing,456.84,379
52,Series,Groceries,1364.19,377
53,Property,Beauty,1625.84,298
54,Seem,Furniture,250.81,237
55,Support,Clothing,1285.06,395
56,Side,Groceries,1623.35,385
57,Employee,Clothing,576.0,178
58,Fall,Sports,1950.11,105
59,Back,Groceries,1552.59,437
60,Pull,Beauty,1256.08,211
61,North,Clothing,551.2,309
62,Hope,Sports,1411.43,320
63,Father,Sports,1221.37,440
64,Hour,Beauty,1634.71,374
65,Thought,Electronics,1932.25,169
66,Realize,Beauty,395.84,148
67,Very,Beauty,1061.55,339
68,Six,Groceries,1918.99,90
69,At,Sports,1348.72,284
70,Place,Sports,278.54,55
71,Able,Sports,1009.28,51
72,Tough,Clothing,180.62,303
73,Gas,Electronics,90.47,121
74,Blood,Groceries,103.5,415
75,Threat,Groceries,174.38,39
76,Experience,Groceries,276.64,29
77,Itself,Furniture,1910.79,103
78,Save,Sports,1511.21,207
79,Rule,Sports,1267.89,11
80,Plant,Beauty,1173.24,277
81,Safe,Sports,889.85,189
82,Civil,Sports,1537.6,279
83,Right,Groceries,422.52,64
84,Live,Beauty,743.12,1
85,Watch,Sports,664.88,422
86,Beautiful,Beauty,164.94,156
87,Paper,Beauty,1380.08,486
88,Dog,Furniture,1082.72,205
89,Site,Groceries,1049.04,44
90,Bad,Furniture,780.15,106
91,Strong,Electronics,504.43,220
92,Father,Electronics,531.18,121
93,Situation,Clothing,1445.97,243
94,Suddenly,Clothing,62.72,90
95,Stage,Clothing,1234.83,289
96,National,Groceries,1291.51,79
97,Yard,Beauty,1461.44,448
98,Wear,Clothing,934.38,116
99,Focus,Electronics,1657.82,468
100,Machine,Furniture,530.04,283
101,Listen,Furniture,1560.11,420
102,Adult,Furniture,1242.97,241
103,Officer,Clothing,471.28,359
104,Budget,Electronics,1104.25,466
105,Hospital,Electronics,922.97,136
106,Wind,Clothing,1147.39,137
107,Available,Sports,1962.61,204
108,Send,Sports,1916.88,359
109,Between,Groceries,1220.2,18
110,Billion,Furniture,1557.88,347
111,Beat,Sports,765.1,1
112,Born,Groceries,1980.37,385
113,Size,Sports,146.29,478
114,Trade,Clothing,1392.12,109
115,Certain,Furniture,1807.16,2
116,Individual,Groceries,1199.74,108
117,Tell,Groceries,1791.17,203
118,World,Clothing,1539.94,276
119,Thing,Furniture,869.58,64
120,Table,Electronics,1971.19,59
121,Miss,Sports,1450.52,326
122,Several,Groceries,1322.06,333
123,Consider,Groceries,1713.81,353
124,Accept,Groceries,1065.42,260
125,Back,Groceries,680.52,445
126,Brother,Electronics,1299.29,237
127,Your,Sports,596.46,204
128,Design,Sports,1571.79,350
129,Box,Electronics,1561.57,458
130,Security,Furniture,376.31,358
131,Its,Groceries,952.05,189
132,Respond,Groceries,1237.55,103
133,Election,Furniture,1825.57,83
134,Ten,Sports,850.99,292
135,Choose,Sports,1471.84,67
136,Open,Electronics,972.63,340
137,Suddenly,Electronics,737.35,158
138,Radio,Electronics,569.33,246
139,Seven,Groceries,1383.07,153
140,City,Groceries,819.57,439
141,Amount,Beauty,455.04,118
142,Wrong,Sports,126.98,222
143,Human,Electronics,1852.58,305
144,Important,Electronics,400.56,123
145,Throughout,Clothing,805.07,498
146,Anything,Furniture,1961.6,394
147,Language,Furniture,949.11,337
148,Throughout,Sports,1219.78,38
149,Item,Groceries,1800.0,270
150,Performance,Furniture,208.08,491
151,Sort,Furniture,1527.57,45
152,Discover,Groceries,1768.43,172
153,We,Clothing,1457.4,372
154,Discussion,Clothing,139.29,208
155,Produce,Furniture,1630.11,489
156,Such,Electronics,1945.57,60
157,Bar,Furniture,530.71,273
158,Indicate,Groceries,1321.96,237
159,Card,Sports,1035.34,343
160,Within,Sports,342.06,41
161,Because,Groceries,478.82,477
162,Above,Sports,414.78,43
163,Lawyer,Electronics,768.35,76
164,Ready,Beauty,1546.93,272
165,Guess,Clothing,1881.75,269
166,Trip,Sports,403.71,174
167,Account,Electronics,845.2,392
168,Test,Groceries,7.08,361
169,Record,Electronics,1327.94,426
170,Sense,Clothing,440.53,205
171,Any,Clothing,954.0,342
172,Road,Electronics,1517.66,500
173,Box,Groceries,1615.93,58
174,Toward,Beauty,1612.35,177
175,Itself,Clothing,787.96,433
176,Young,Beauty,297.48,422
177,Before,Clothing,412.84,461
178,Gun,Beauty,1790.54,428
179,Write,Sports,1072.11,228
180,Red,Furniture,627.31,15
181,Catch,Beauty,120.63,66
182,Standard,Furniture,1373.94,385
183,Drop,Electronics,1793.17,457
184,Quite,Electronics,1927.02,415
185,Report,Furniture,100.45,387
186,Top,Beauty,917.08,312
187,Today,Groceries,643.74,136
188,Cut,Clothing,212.77,173
189,Blue,Sports,1443.36,339
190,Door,Clothing,1564.64,144
191,Activity,Sports,1461.3,494
192,Someone,Furniture,176.78,213
193,Own,Furniture,426.37,73
194,South,Groceries,705.29,49
195,Citizen,Sports,1883.41,318
196,Value,Electronics,1463.6,118
197,Talk,Beauty,365.23,391
198,Defense,Furniture,1246.7,178
199,Law,Clothing,600.31,349
200,Responsibility,Furniture,437.97,465
201,Morning,Groceries,1444.38,280
202,Small,Beauty,202.74,443
203,Purpose,Groceries,1248.93,334
204,Increase,Sports,1168.65,455
205,Around,Clothing,616.62,330
206,Up,Groceries,1907.93,50
207,Describe,Groceries,185.06,433
208,Important,Beauty,200.74,389
209,Contain,Groceries,1135.85,432
210,Nice,Sports,1858.74,374
211,Agency,Groceries,1821.13,276
212,Father,Electronics,849.05,283
213,Within,Sports,313.05,262
214,Next,Groceries,625.25,262
215,Suggest,Electronics,1130.1,119
216,None,Beauty,1856.58,303
217,Really,Beauty,1028.69,494
218,Difference,Groceries,1659.54,64
219,Serious,Groceries,1475.94,119
220,Student,Electronics,880.97,218
221,Senior,Sports,533.1,487
222,Fill,Beauty,796.06,178
223,Eye,Electronics,1528.62,322
224,Require,Groceries,1571.03,353
225,Interest,Sports,1481.91,58
226,Military,Electronics,634.06,457
227,Either,Electronics,529.81,295
228,Trade,Furniture,15.13,423
229,Huge,Sports,1424.92,427
230,Home,Clothing,1957.55,396
231,Ball,Beauty,580.32,97
232,Drive,Clothing,1837.95,290
233,Yourself,Furniture,1067.68,446
234,Method,Groceries,703.5,440
235,Its,Beauty,1084.25,60
236,Chance,Sports,132.72,439
237,Into,Groceries,1345.0,427
238,Walk,Furniture,1041.79,236
239,National,Sports,74.59,443
240,Maintain,Beauty,1394.96,144
241,When,Furniture,1735.91,316
242,Develop,Beauty,391.31,407
243,Really,Clothing,848.29,277
244,It,Beauty,1052.51,244
245,Quite,Furniture,1789.27,7
246,Turn,Electronics,444.68,347
247,Body,Clothing,289.14,58
248,School,Sports,1916.89,290
249,Particularly,Clothing,1708.67,126
250,Determine,Furniture,1578.09,343
251,Tax,Beauty,374.94,482
252,Century,Sports,1994.25,18
253,This,Electronics,685.31,173
254,Article,Sports,1896.13,387
255,Anyone,Groceries,627.52,455
256,Give,Beauty,1433.18,212
257,Page,Beauty,1535.12,83
258,Sign,Groceries,1035.65,147
259,Soldier,Electronics,1094.95,209
260,Leg,Clothing,336.49,345
261,Rest,Groceries,1856.26,433
262,Analysis,Electronics,10.49,144
263,Quality,Sports,741.37,364
264,Watch,Sports,1192.77,391
265,Quite,Furniture,1842.09,344
266,Vote,Clothing,426.32,63
267,Public,Furniture,355.86,363
268,Bill,Electronics,1017.69,10
269,Skill,Beauty,1262.45,125
270,Baby,Electronics,915.75,269
271,Administration,Electronics,422.21,145
272,Collection,Sports,1753.27,323
273,Decide,Clothing,493.18,99
274,Cause,Furniture,881.98,88
275,Forward,Beauty,154.34,83
